longitude,latitude,target_no,target_name,type,subtype,dimensions_ft,depth_ft,material,target_description,css_surveyed,css_survey_date,css_dimensions,css_historically_explored,css_description,css_url,dcs_target_no,dcs_scuba_footage,dcs_scuba_date,dcs_dimensions,dcs_notes,dcs_url,sc_notes,sc_newly_uncovered,sc_rov_dive_duration,sc_rov_dive_date,sc_video_url,sc_current_footage_status,sc_initial_footage_status,sc_howto_access
-122.3302082,47.633092,LU057,Unknown,Unknown,Multiple Debris Objects Likely Broken Barge & Small Boat with General Debris,TBD,40,Unknown,NA,Yes,NA,TBD - In Mud,No,Multiple Debris Objects Likely Broken Barge & Small Boat with General Debris,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU57,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Lake Union Dry Dock Piers
-122.3300736,47.6330807,LU058,Unknown,Unknown,Barge or Dock,TBD - In Mud,40,Unknown,NA,Yes,NA,TBD,No,Barge or Dock,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU58,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Lake Union Dry Dock Piers
-122.3302221,47.6333148,LU059,Unknown,Shipwreck,Shipwreck,TBD,40,Unknown,NA,Yes,NA,NA,No,Shipwreck,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU59,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Lake Union Dry Dock Piers
-122.3306252,47.633318,LU060,Unknown,Debris,Cable Bundles Entangled Tires & Drums,NA,40,Mixed (Debris),NA,Yes,NA,TBD,No,Cable Bundles Entangled Tires & Drums,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU60,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Lake Union Dry Dock Piers
-122.3298278,47.6327249,LU061,Unknown,Shipwreck,Unknown,TBD,NA,Unknown,NA,Yes,NA,TBD,No,Unknown,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU61,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Lake Union Dry Dock Piers
-122.3293027,47.6325647,LU062,Gypsy Queen (YMS105),Shipwreck,Yard Class Minesweeper,TBD,40,Metal,NA,No,NA,TBD,Yes,Gypsy Queen (YMS105),https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU62,26,yes,NA,NA,NA,http://www.dcsfilms.com/Site_4/YMS_105.html,NA,no,NA,NA,NA,Historical Footage,Historical Footage,Lake Union Dry Dock Piers
-122.3289278,47.6327086,LU063,Unknown,Shipwreck,Double Ended Sailer,TBD,40,Unknown,NA,No,NA,TBD,Yes,Double Ended Sailer,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU63,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Lake Union Dry Dock Piers
-122.3288222,47.6326797,LU064,Unknown,Shipwreck,Wooden Pleasure Craft,TBD,40,Wood,NA,No,NA,TBD,Yes,Wooden Pleasure Craft,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU64,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Lake Union Dry Dock Piers
-122.3286632,47.6325326,LU065,Unknown,Shipwreck,Cannery Tender,TBD,40,Metal,NA,No,NA,NA,Yes,Cannery Tender,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU65,29,yes,NA,NA,NA,http://www.dcsfilms.com/Site_4/Lake_Union_cannery_tender.html,NA,no,NA,NA,NA,Historical Footage,Historical Footage,Lake Union Dry Dock Piers
-122.3281916,47.6310925,LU066,Harley Davidson,Vehicle,Stated to have been removed along with unnamed partial Barge with Bridge repair,NA,15,Metal,NA,No,NA,TBD,Yes,Stated to have been removed along with unnamed partial Barge with Bridge repair,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU66,25,yes,NA,NA,motorcycle,http://www.dcsfilms.com/Site_4/Harley_Davidson.html,NA,no,NA,NA,NA,Historical Footage,Historical Footage,Next to LUDD
-122.3280893,47.6336477,LU067,Unknown,Unknown,Likely Barge,TBD,40,Unknown,NA,Yes,NA,TBD,No,Likely Barge,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU67,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Lake Union Dry Dock Piers
-122.3279334,47.6339252,LU068,Unknown,Shipwreck,Barge,TBD,40,Unknown,NA,Yes,NA,28' x 8',No,Barge,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU68,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Lake Union Dry Dock Piers
-122.3323852,47.6356183,LU069,Unknown,Shipwreck,Boat Partially in Mud,28' x 8',40,Unknown,NA,Yes,NA,NA,No,Boat Partially in Mud,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU69,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Boat
-122.329419,47.6344759,LU070,NA,Debris,Dry Dock Debris - Multiple Ladders - Possible Barge Tucked under Dock,NA,40,Metal,NA,Yes,NA,TBD,No,Dry Dock Debris - Multiple Ladders - Possible Barge Tucked under Dock,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU70,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Lake Union Dry Dock Piers
