longitude,latitude,target_no,target_name,type,subtype,dimensions_ft,depth_ft,material,target_description,css_surveyed,css_survey_date,css_dimensions,css_historically_explored,css_description,css_url,dcs_target_no,dcs_scuba_footage,dcs_scuba_date,dcs_dimensions,dcs_notes,dcs_url,sc_notes,sc_newly_uncovered,sc_rov_dive_duration,sc_rov_dive_date,sc_video_url,sc_current_footage_status,sc_initial_footage_status,sc_howto_access
-122.3428997,47.6466034,LU012,Kahlenberg,Shipwreck,Boat,55' x 14',40,Unknown,NA,Yes,NA,55' x 14',Yes,Boat,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU12,13,yes,NA,NA,NA,http://www.dcsfilms.com/Site_4/Wreck_of_the_Kahlenberg.html,NA,no,NA,NA,NA,Historical Footage,Historical Footage,Pacific Coast Yachting Services
-122.3415702,47.64702,LU013,Unknown,Shipwreck,Shipwreck,TBD,40,Unknown,NA,Yes,NA,TBD,No,Shipwreck,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU13,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Divers Institute of Technology
-122.3409251,47.6470662,LU014,Unknown,Shipwreck,Shipwreck Under Docks,TBD,40,Unknown,NA,Yes,NA,TBD,No,Shipwreck Under Docks,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU14,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Divers Institute of Technology
-122.3449945,47.6473064,LU015,Unknown,Shipwreck,Large wood boat/Tug,75' x 18' Approx,40,Wood,NA,Yes,NA,75' x 18' Approx,Yes,Large wood boat/Tug,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU15,42,yes,NA,70 x 12,"70' length, 12' wide",http://www.dcsfilms.com/Site_4/Lake_Union_shipwrecks.html,NA,no,NA,NA,NA,Historical Footage,Historical Footage,Fremont Tugboat Piers ?
-122.3452354,47.6472315,LU016,Unknown,Shipwreck,Shipwreck,21' x 8',40,Unknown,NA,Yes,NA,21' x 8',No,Shipwreck,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU16,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Fremont Tugboat Piers ?
-122.3451279,47.6472004,LU017,Karinda,Shipwreck,Cabin Cruiser,21' x 8',40,Fiberglass,NA,Yes,NA,21' x 8',Yes,Shipwreck,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU17,37,yes,NA,20' x 8',"20' length, 8' width",http://www.dcsfilms.com/Site_4/Lake_Union_boats_sink.html,NA,no,NA,NA,NA,Historical Footage,Historical Footage,Fremont Tugboat Piers ?
-122.3449389,47.647163,LU018,HI-YU-ALL,Shipwreck,Shipwreck,25' x 8',40,Fiberglass,NA,Yes,NA,25' x 8',Yes,Shipwreck,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU18,38,yes,NA,24' x 8',"24' length, 8' width",http://www.dcsfilms.com/Site_4/Lake_Union_boats_sink.html,NA,no,NA,NA,NA,Historical Footage,Historical Footage,Fremont Tugboat Piers ?
-122.3454721,47.6471583,LU019,Unknown,Shipwreck,Wood Craft,15' x 7.5',40,Wood,NA,Yes,NA,15' x 7.5',Yes,Wood Craft,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU19,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Fremont Tugboat Piers ?
-122.3467669,47.6483132,LU020,Unknown,Unknown,Possible Barge Under Silt,Unknown,30,Unknown,NA,Yes,NA,TBD,No,Possible Barge Under Silt,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU20,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Lake Washington Rowing Club
-122.3293966,47.6506562,LU021,Unknown,Shipwreck,Steel Workboat,Unknown,30,Metal,NA,Yes,NA,TBD,Yes,Steel Workboat,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU21,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,"Seattle Marina, Gas Works Brewing"
-122.34112,47.6470067,LU022,Unknown,Shipwreck,Metal fire Boat,30.5 x 11,Unknown,Metal,NA,Yes,NA,TBD,Yes,Metal fire Boat,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU22,34,yes,NA,30.5' x 11',"Steel Boat, Divers Institute of Technology Wreck, 30.5' long, 11' wide",http://www.dcsfilms.com/Site_4/DIT_Boat.html,NA,no,NA,NA,NA,Historical Footage,Historical Footage,Divers Institute of Technology
-122.3465156,47.6485336,LU023,Unknown,Shipwreck,Small wood barge,TBD,30,Wood,NA,Yes,NA,33' x 10',Yes,Small wood barge,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU23,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Lake Washington Rowing Club
-122.3482614,47.6466882,LU024,Unknown,Shipwreck,Bowsprit Boat,33' x 10',40,Unknown,NA,Yes,NA,40' x 25',Yes,Bowsprit Boat,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU24,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Boat
-122.346582,47.6461166,LU025,NA,Debris,Log Pile,40' x 25',40,Wood,NA,Yes,NA,28' x 8.5',No,Log Pile,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU25,1,yes,NA,approx 25' x 30',"Pile of logs, approx 25' long, 30' 'wide",http://www.dcsfilms.com/Site_4/Lake_Union_logs.html,NA,no,NA,NA,NA,Historical Footage,Historical Footage,Boat
-122.3443114,47.6447966,LU026,***Quinn II,Shipwreck,Pleasure craft,28' x 8.5',40,Fiberglass,NA,Yes,NA,TBD,No,Shipwreck,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU26,NA,NA,NA,NA,NA,NA,"Washington registration tag visible, WN 1_77, stern lettering *U_NN_I*",no,0.5,15Apr2026,NA,First Footage,No Footage,Rainier Marina (Boat World)
-122.3430235,47.643588,LU027,Unknown,Unknown,Possible Side wheeler (Near Shore),Unknown,Unknown,Unknown,NA,No,NA,60' x 20',Yes,Possible Side wheeler (Near Shore),https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU27,32?,yes,NA,NA,NA,http://www.dcsfilms.com/Site_4/Lake_Union_Sidewheeler.html,NA,no,NA,NA,NA,Historical Footage,Historical Footage,Seattle Boat Works / Swiftsure Yachts ?
-122.3416665,47.6428841,LU028,Unknown,Shipwreck,Draft Marker Boat,60' x 20',40,Unknown,NA,Yes,NA,12',Yes,Draft Marker Boat,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU28,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Seattle Boat Works / Swiftsure Yachts ?
-122.3410983,47.642807,LU029,NA,Debris,Net (Floating on Concrete Anchor),12',40,Mixed (Debris),NA,Yes,NA,TBD - In mud,Yes,Net (Floating on Concrete Anchor),https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU29,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Seattle Boat Works / Swiftsure Yachts ?
-122.3401989,47.640024,LU030,Unknown,Shipwreck,Large Sailboat,Unknown,40,Unknown,Large sailboat of unknown length in mud.,No,NA,TBD,No,Large Sailboat,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU30,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Western Yacht Harbor ?
-122.3402139,47.6399514,LU031,Unknown,Shipwreck,Metal Hull,Unknown,40,Metal,NA,Yes,NA,60' x 20',Yes,Metal Hull,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU31,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Western Yacht Harbor ?
-122.3390021,47.6392968,LU032,Unknown,Shipwreck,Barge,60' x 20',40,Wood,NA,Yes,NA,45' x 16',Yes,Barge,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU32,3,yes,NA,70' x 30',"""Old Barge', Length 70', Width 3', Height 4'",http://www.dcsfilms.com/Site_4/Lake_Union_Survey.html,blackened wood may be from fire,no,1.5,"27Mar2026, 7Mar2026",NA,Updated Footage,Historical Footage,Julie's Landing (Boat World)
-122.3377314,47.6384812,LU033,Unknown,Shipwreck,"45' wooden boat. Possible Name Lettering ""Crooery Ark""",45' x 16',40,Wood,NA,Yes,NA,TBD,Yes,"45' wooden boat. Possible Name Lettering ""Crooery Ark""",https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU33,NA,NA,NA,NA,NA,NA,wooden shambles,no,0.5,27Mar2026,NA,Updated Footage,No Footage,Julie's Landing (Boat World)
-122.3389165,47.6352269,LU034,Unknown,Shipwreck,Personal Liveaboard,Unknown,30,Mixed (Metal and Wood),NA,Yes,NA,TBD - Under Dock Near Shore,Yes,Personal Liveaboard,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU34,4,yes,NA,NA,personal liveboard,http://www.dcsfilms.com/Site_4/Sea_Bee.html,NA,no,NA,NA,NA,Historical Footage,Historical Footage,Boat House Deli Piers ?
-122.3394291,47.6351842,LU035,Jeanette,Shipwreck,Fishing Vessel,40 x 10,,Wood,tucked under dock near shore,No,NA,NA,Yes,Shipwreck,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU35,21,yes,NA,40 x 10,"Fishing vessel, Length 40ft, Beam 10ft",http://www.dcsfilms.com/Site_4/Jeanette_Lake_Union.html,NA,no,NA,NA,NA,Historical Footage,Historical Footage,Boat House Deli Piers ?
-122.3349149,47.6353207,LU036,Unknown,Unknown,Multiple Floating Objects,N/A,40,Unknown,NA,Yes,NA,TBD,No,Multiple Floating Objects,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU36,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Boat
-122.3339668,47.6345818,LU037,Unknown,Unknown,Unknown Debris Item - Possible small boat.,Unknown,40,Unknown,NA,Yes,NA,TBD - Under Dock Near Shore,No,Unknown Debris Item - Possible small boat.,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU37,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Boat
-122.3391884,47.6345066,LU038,USS Lapeer (PC 1138),Shipwreck,Patrol Craft,TBD - Under Dock Near Shore,40,Unknown,NA,Yes,NA,9' x 6',Yes,Shipwreck,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU38,22,yes,NA,NA,Coast Guard Navy Vesel ,http://www.dcsfilms.com/Site_4/PC_1138_Lake_Union.html,NA,no,NA,NA,NA,Historical Footage,Historical Footage,The Lake Union Building Piers ?
-122.3385052,47.6345476,LU039,Unknown,Unknown,Unknown Debris Item,9' x 6',40,Unknown,NA,Yes,NA,TBD,No,Unknown Debris Item,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU39,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,The Lake Union Building Piers ?
